_id,Date,Rain,Temp Max,Temp Min
97,1951-07-04T00:00:00,"",31.47999954,19.07999992
98,1951-08-04T00:00:00,"",32.25,19.70999908
99,1951-09-04T00:00:00,"",33.59999847,20.17000008
100,1951-10-04T00:00:00,"",35.18999863,19.19000053
101,1951-11-04T00:00:00,"",35.97999954,19.87000084
102,1951-12-04T00:00:00,"",36.15000153,21.81999969
103,1951-04-13T00:00:00,"",34.86999893,21.95000076
104,1951-04-14T00:00:00,"",34.75999832,23.54999924
105,1951-04-15T00:00:00,"",34.36999893,24.29000092
106,1951-04-16T00:00:00,"",35.63000107,24.26000023
107,1951-04-17T00:00:00,"",34.93999863,23.84000015
108,1951-04-18T00:00:00,"",33.86000061,23.89999962
109,1951-04-19T00:00:00,"",33.86999893,23.40999985
110,1951-04-20T00:00:00,"",33.15000153,22.70000076
111,1951-04-21T00:00:00,"",32.58000183,21.20000076
112,1951-04-22T00:00:00,"",32.36999893,21.69000053
113,1951-04-23T00:00:00,"",32.58000183,22.06999969
114,1951-04-24T00:00:00,"",33.56000137,22.84000015
115,1951-04-25T00:00:00,"",34.33000183,24.04000092
116,1951-04-26T00:00:00,"",34.22999954,23.76000023
117,1951-04-27T00:00:00,"",33.95000076,23.68000031
118,1951-04-28T00:00:00,"",33.36000061,23.29999924
119,1951-04-29T00:00:00,"",34.29999924,23.19000053
120,1951-04-30T00:00:00,"",34.20999908,23.12000084
121,1951-01-05T00:00:00,"",34.27999878,22.87000084
122,1951-02-05T00:00:00,"",34.54999924,22.38999939
123,1951-03-05T00:00:00,"",34.27000046,22.65999985
124,1951-04-05T00:00:00,"",34.47000122,23.32999992
125,1951-05-05T00:00:00,"",34.43000031,24.32999992
126,1951-06-05T00:00:00,"",34.74000168,23.63999939
127,1951-07-05T00:00:00,"",35.79000092,24.31999969
128,1951-08-05T00:00:00,"",35.86000061,24.29999924
129,1951-09-05T00:00:00,"",37.00999832,24.87999916
130,1951-10-05T00:00:00,"",36.74000168,24.34000015
131,1951-11-05T00:00:00,"",37.00999832,24.37999916
132,1951-12-05T00:00:00,"",36.74000168,24.31999969
133,1951-05-13T00:00:00,"",36.22000122,23.85000038
134,1951-05-14T00:00:00,"",36.13000107,24.13999939
135,1951-05-15T00:00:00,"",36.27000046,24.01000023
136,1951-05-16T00:00:00,"",35.86999893,25.36000061
137,1951-05-17T00:00:00,"",35.81999969,24.45999908
138,1951-05-18T00:00:00,"",37.93000031,25.48999977
139,1951-05-19T00:00:00,"",37.27999878,24.43000031
140,1951-05-20T00:00:00,"",37.09000015,24.12999916
141,1951-05-21T00:00:00,"",35.95999908,24.57999992
142,1951-05-22T00:00:00,"",35.65999985,24.47999954
143,1951-05-23T00:00:00,"",35.97000122,24.45999908
144,1951-05-24T00:00:00,"",35.63999939,25.29000092
145,1951-05-25T00:00:00,"",35.24000168,24.03000069
146,1951-05-26T00:00:00,"",33.88999939,25.70999908
147,1951-05-27T00:00:00,"",35.79000092,25.04000092
148,1951-05-28T00:00:00,"",33.95999908,25.56999969
149,1951-05-29T00:00:00,"",35.02999878,24.77000046
150,1951-05-30T00:00:00,"",34.54999924,25.22999954
151,1951-05-31T00:00:00,"",35.15999985,25.38999939
152,1951-01-06T00:00:00,"",34.90000153,25.78000069
153,1951-02-06T00:00:00,"",34.16999817,25
154,1951-03-06T00:00:00,"",33.47999954,25.56999969
155,1951-04-06T00:00:00,"",34.22999954,24.78000069
156,1951-05-06T00:00:00,"",33.06999969,25.64999962
157,1951-06-06T00:00:00,"",33.90000153,25.67000008
158,1951-07-06T00:00:00,"",34.47999954,25.84000015
159,1951-08-06T00:00:00,"",35.18000031,25.86000061
160,1951-09-06T00:00:00,"",34.58000183,25.69000053
161,1951-10-06T00:00:00,"",35.31000137,26.53000069
162,1951-11-06T00:00:00,"",34.34999847,26.02000046
163,1951-12-06T00:00:00,"",33.86999893,24.5
164,1951-06-13T00:00:00,"",30.31999969,23.51000023
165,1951-06-14T00:00:00,"",31.88999939,23.12000084
166,1951-06-15T00:00:00,"",30.43000031,23.88999939
167,1951-06-16T00:00:00,"",31.40999985,25.19000053
168,1951-06-17T00:00:00,"",32.15000153,23.87000084
169,1951-06-18T00:00:00,"",32.52999878,23.54999924
170,1951-06-19T00:00:00,"",32.09999847,24.35000038
171,1951-06-20T00:00:00,"",32.86000061,24.86000061
172,1951-06-21T00:00:00,"",31.87000084,25.12999916
173,1951-06-22T00:00:00,"",31.67000008,24.11000061
174,1951-06-23T00:00:00,"",30.44000053,24.57999992
175,1951-06-24T00:00:00,"",30.20999908,24.57999992
176,1951-06-25T00:00:00,"",31.11000061,26.12999916
177,1951-06-26T00:00:00,"",31.55999947,25.76000023
178,1951-06-27T00:00:00,"",30.23999977,23.70999908
179,1951-06-28T00:00:00,"",29.54999924,23.06999969
180,1951-06-29T00:00:00,"",29.79000092,23.5
181,1951-06-30T00:00:00,"",30.67000008,24.90999985
182,1951-01-07T00:00:00,"",28.98999977,24.15999985
183,1951-02-07T00:00:00,"",30.09000015,24.62000084
184,1951-03-07T00:00:00,"",30.95000076,25.07999992
185,1951-04-07T00:00:00,"",30.56999969,24.22999954
186,1951-05-07T00:00:00,"",30.72999954,23.93000031
187,1951-06-07T00:00:00,"",32.13999939,25.09000015
188,1951-07-07T00:00:00,"",31.87999916,24.72999954
189,1951-08-07T00:00:00,"",31.70999908,24.19000053
190,1951-09-07T00:00:00,"",31.69000053,23.13999939
191,1951-10-07T00:00:00,"",30.95000076,24.59000015
192,1951-11-07T00:00:00,"",31.39999962,25.13999939
193,1951-12-07T00:00:00,"",30.20999908,24.39999962
194,1951-07-13T00:00:00,"",29.44000053,23.29999924
195,1951-07-14T00:00:00,"",29.77000046,23.35000038
196,1951-07-15T00:00:00,"",30.11000061,23.80999947
197,1951-07-16T00:00:00,"",31.52000046,23.90999985
198,1951-07-17T00:00:00,"",30.19000053,23.87999916
199,1951-07-18T00:00:00,"",29.57999992,23.88999939
200,1951-07-19T00:00:00,"",28.34000015,23.20000076
201,1951-07-20T00:00:00,"",27.42000008,22.87000084
202,1951-07-21T00:00:00,"",28.02000046,23.45999908
203,1951-07-22T00:00:00,"",28.86000061,23.95000076
204,1951-07-23T00:00:00,"",29.47999954,23.90999985
205,1951-07-24T00:00:00,"",30.37999916,24.02000046
206,1951-07-25T00:00:00,"",29.56999969,23.70999908
207,1951-07-26T00:00:00,"",28.72999954,23.04000092
208,1951-07-27T00:00:00,"",26.95999908,23.03000069
209,1951-07-28T00:00:00,"",27.98999977,23.37000084
210,1951-07-29T00:00:00,"",27.95000076,23.62999916
211,1951-07-30T00:00:00,"",28.5,23.87999916
212,1951-07-31T00:00:00,"",28.34000015,23.98999977
213,1951-01-08T00:00:00,"",27.79999924,24.25
214,1951-02-08T00:00:00,"",27.92000008,24.12000084
215,1951-03-08T00:00:00,"",28.11000061,23.95999908
216,1951-04-08T00:00:00,"",28.36000061,23.87999916
217,1951-05-08T00:00:00,"",29.14999962,23.87999916
218,1951-06-08T00:00:00,"",27.95000076,23.5
219,1951-07-08T00:00:00,"",27.65999985,23.54999924
220,1951-08-08T00:00:00,"",26.27000046,23.38999939
221,1951-09-08T00:00:00,"",25.87000084,23.43000031
222,1951-10-08T00:00:00,"",27.45999908,22.73999977
223,1951-11-08T00:00:00,"",28.85000038,23.04999924
224,1951-12-08T00:00:00,"",28.67000008,23.56999969
225,1951-08-13T00:00:00,"",29.12000084,23.62999916
226,1951-08-14T00:00:00,"",27.94000053,23.32999992
227,1951-08-15T00:00:00,"",29,23.26000023
228,1951-08-16T00:00:00,"",28.59000015,23.60000038
229,1951-08-17T00:00:00,"",29.06999969,23.98999977
230,1951-08-18T00:00:00,"",28.43000031,23.29000092
231,1951-08-19T00:00:00,"",29.05999947,23.17000008
232,1951-08-20T00:00:00,"",29.87000084,23.32999992
233,1951-08-21T00:00:00,"",29.62999916,23.38999939
234,1951-08-22T00:00:00,"",29.43000031,23.69000053
235,1951-08-23T00:00:00,"",28.86000061,24.15999985
236,1951-08-24T00:00:00,"",28.82999992,24.31999969
237,1951-08-25T00:00:00,"",29.21999931,23.93000031
238,1951-08-26T00:00:00,"",29.20000076,23.62999916
239,1951-08-27T00:00:00,"",29.84000015,22.95000076
240,1951-08-28T00:00:00,"",29.72999954,22.95999908
241,1951-08-29T00:00:00,"",29.89999962,22.75
242,1951-08-30T00:00:00,"",30.39999962,22.18000031
243,1951-08-31T00:00:00,"",29.80999947,21.69000053
244,1951-01-09T00:00:00,"",30.53000069,22.07999992
245,1951-02-09T00:00:00,"",30.11000061,21.84000015
246,1951-03-09T00:00:00,"",30.28000069,22.96999931
247,1951-04-09T00:00:00,"",30.60000038,23.55999947
248,1951-05-09T00:00:00,"",30.53000069,23.56999969
249,1951-06-09T00:00:00,"",30.70000076,23.70000076
250,1951-07-09T00:00:00,"",30.04999924,23.06999969
251,1951-08-09T00:00:00,"",30.10000038,23.97999954
252,1951-09-09T00:00:00,"",31.23999977,23.65999985
253,1951-10-09T00:00:00,"",30.85000038,23.12999916
254,1951-11-09T00:00:00,"",30.45000076,22.73999977
255,1951-12-09T00:00:00,"",30.14999962,22.20000076
256,1951-09-13T00:00:00,"",30.20999908,22.15999985
257,1951-09-14T00:00:00,"",30.57999992,22.51000023
258,1951-09-15T00:00:00,"",30.71999931,23.09000015
259,1951-09-16T00:00:00,"",31.62999916,22.05999947
260,1951-09-17T00:00:00,"",31.40999985,22.81999969
261,1951-09-18T00:00:00,"",32.13000107,22.54000092
262,1951-09-19T00:00:00,"",31.79000092,23.21999931
263,1951-09-20T00:00:00,"",31.60000038,22.62999916
264,1951-09-21T00:00:00,"",32.25999832,23.64999962
265,1951-09-22T00:00:00,"",32.81000137,23.88999939
266,1951-09-23T00:00:00,"",32.74000168,23.87999916
267,1951-09-24T00:00:00,"",34.15000153,24.40999985
